country,region,n_vehicles,mean_eds,median_eds,sd_eds,min_eds,max_eds,p25_eds,p75_eds,p90_eds,p95_eds,mean_total_energy,median_total_energy,mean_ice_energy,mean_electric_energy,mean_mass,mean_aer,mean_battery_capacity,mean_engine_power,mean_energy_into_battery,total_energy_into_battery,mean_mileage,n_models,n_oems,n_segments,n_vehicle_bodies,n_eds_high70,n_eds_high50,n_eds_high30,n_eds_low30,n_eds_low20,n_eds_low10,pct_eds_high70,pct_eds_high50,pct_eds_high30,pct_eds_low30,pct_eds_low20,pct_eds_low10,temperature
FR,Western,36624,29.750904425592307,27.630087138647497,19.66121893342191,0,99.46403385049366,13.630997676116905,43.05017496004498,57.11372596156114,65.37939466366987,22.79194049877675,21.865882359726097,16.915350560625818,5.876589938150934,2106.2812636522453,62.04325032765435,13.14316595865676,144.7297673656611,1067.2550525110764,39087149.043165535,18675.811038439584,145,28,5,7,1173,6175,16768,19856,13303,6799,3.2028178243774574,16.860528615115772,45.78418523372652,54.21581476627348,36.32317605941459,18.564329401485367,11.57
GR,Southern,1463,30.499553624621235,28.353029335167808,19.205324351165547,0,90.18831724051635,15.237970300553147,43.84393717629547,57.43503158313442,64.48607778224087,23.641137245135315,22.955514753486465,17.959235881254642,5.681901363880671,2095.4710397766935,58.04425612052732,13.311850157846596,139.717019822283,1080.8519380717566,1581286.3853989823,18416.049966107334,66,20,3,6,38,270,687,776,496,244,2.5974025974025974,18.45522898154477,46.958304853041696,53.041695146958304,33.90293916609706,16.67805878332194,14.89
HR,Central_Eastern,251,26.33023341902568,24.22464001729526,17.442219694353234,0,88.05586055448806,14.359114130408853,37.3734116078731,50.405665700332705,58.36401091704104,27.63416997374957,26.72059226843589,22.72178430384205,4.912385669907522,2292.4462151394423,63.24096385542169,14.005306985901624,186.27888446215138,1071.367330677291,268913.2,22087.970916337148,48,19,5,7,4,26,96,155,103,49,1.593625498007968,10.358565737051793,38.24701195219124,61.75298804780876,41.03585657370518,19.52191235059761,11.95
HU,Central_Eastern,1240,32.42539186892187,30.939884835907463,19.143112981397234,0,96.48702116180084,17.657912711515365,45.81881969521017,58.5401469896708,67.53015761334714,25.301242941016,24.279734041201223,18.33082329452843,6.970419646487571,2224.315322580645,59.58387096774195,13.876642720007128,158.95887096774197,1494.0727566884818,1852650.2182937174,20162.987579504465,88,24,5,7,47,228,636,604,368,163,3.790322580645161,18.387096774193548,51.29032258064517,48.70967741935484,29.677419354838708,13.14516129032258,11.57
IE,Northern,2667,39.158932070118,39.19619520973478,21.821492029388196,0,95.06460614346712,21.535754921791302,56.03978560222352,68.2799469484673,75.5710144788535,23.214125272386305,21.967605861340605,14.83392212482152,8.380203147564785,2246.0301624129925,66.71339950372213,14.04755342473505,162.65841769778754,1992.6712868658872,5314454.322071305,21605.573824252784,86,21,5,6,233,863,1703,964,620,294,8.736407949006374,32.35845519310086,63.85451818522685,36.145481814773156,23.247094113235846,11.023622047244094,9.95
IS,Other,654,24.439989166715524,18.221340467872444,23.517961031126877,0,89.5410870901067,2.3015501080511362,42.78709626043857,60.32209149409424,69.2777985728951,25.559993720993607,23.259878704544413,18.117098510705596,7.442895210288012,2210.8837920489295,68.46177370030581,13.363508976198482,145.4862385321101,1138.8355428004757,744798.444991511,22502.16101171277,46,18,5,7,28,112,244,410,334,271,4.281345565749235,17.12538226299694,37.308868501529055,62.69113149847095,51.07033639143731,41.437308868501525,2.4
IT,Southern,20989,26.903157625072076,21.895265380236896,21.4594666423229,0,98.33012993003769,7.948420283753007,42.08118624461037,58.85672086440085,67.53634158949886,22.053128950838857,21.29311513610961,17.46425585234337,4.588873098495484,2051.8825869180905,53.71901969198506,13.27382497690236,125.9832293105917,767.0127079723486,16098829.727631604,17688.042807336922,118,27,5,8,843,3597,8206,12782,9882,6142,4.016389537376721,17.13754823955405,39.09666968412026,60.898565915479544,47.0818047548716,29.262947258087568,13.5
LT,Northern,172,30.477471083630956,28.45916346739318,18.477891225032717,0,75.29461390419446,14.580743176124205,43.42664330247792,55.080794771064134,63.56044008166059,25.10118797976833,23.84744591930464,17.633375137452312,7.46781284231602,2310.395348837209,58.656976744186046,13.528255385021831,155.85465116279067,1352.5331395348837,232635.69999999992,17842.719174671147,34,16,4,4,2,27,83,89,56,23,1.1627906976744187,15.69767441860465,48.25581395348838,51.74418604651163,32.55813953488372,13.372093023255813,7.28
LU,Western,1181,32.28279039399732,30.908384662338385,19.69004503688307,0,94.74968490042852,16.211706600814257,45.2599651657936,58.82177701645938,67.9676674364896,23.39512525567567,22.460275429910208,16.83669805791535,6.558427197760322,2196.707027942421,60.933842239185765,14.289575742807154,154.9119390347163,1446.3364098221844,1708123.2999999989,22279.665284646762,98,23,4,6,51,224,607,574,372,165,4.318374259102455,18.966977138018628,51.397121083827265,48.602878916172735,31.498729889923794,13.971210838272649,9.81
LV,Northern,85,30.253330446500346,27.8508125388509,22.104649712973682,0.1806063116449872,71.6177117952061,12.342904476416154,47.40761959323976,63.45709483844846,67.03864824830738,20.234490839821078,18.760504469456755,15.194696368086781,5.039794471734298,2234.176470588235,65.05882352941177,13.212334500481102,152.48235294117646,897.9035294117647,76321.79999999999,17232.578829273898,19,15,4,4,4,20,40,45,34,18,4.705882352941177,23.52941176470588,47.05882352941176,52.94117647058824,40,21.176470588235293,6.81
