country,region,mean_eds,mean_total_energy,mean_ice_energy,mean_electric_energy,mean_mass,mean_aer,mean_engine_power,mean_battery_capacity,n_vehicles,n_models,n_oems,median_eds,p25_eds,p75_eds,sd_eds,n_high_eds,n_medium_eds,n_low_eds,pct_high_eds,pct_medium_eds,pct_low_eds,temperature,power_to_weight,battery_to_weight,aer_to_mass,eds_aer_interaction,mass_aer_interaction,eds_mass_interaction,energy_density,range_efficiency,mass_squared,aer_squared,eds_squared,region_numeric,country_numeric,region_mass_interaction,country_mass_interaction,country_aer_interaction,country_eds_interaction,predicted_energy,residual
FR,Western,29.750904425592307,22.79194049877675,16.915350560625818,5.876589938150934,2106.2812636522453,62.04325032765435,144.7297673656611,13.14316595865676,36624,145,28,27.630087138647497,13.630997676116905,43.05017496004498,19.66121893342191,6175,17146,13303,16.860528615115772,46.81629532546964,36.32317605941459,NA,0.06871340967763387,0.006239986171584132,0.029456298832603544,1845.8428107511431,130680.53570122439,62663.77256833374,0.006239986171584132,4.720571171574494,4436420.761612499,3849.3649112199814,885.1163141407279,5,11,10531.406318261226,23169.0939001747,682.4757536041978,327.25994868151537,22.53771974895726,0.2542207498194884
GR,Southern,30.499553624621235,23.641137245135315,17.959235881254642,5.681901363880671,2095.4710397766935,58.04425612052732,139.717019822283,13.311850157846596,1463,66,20,28.353029335167808,15.237970300553147,43.84393717629547,19.205324351165547,270,697,496,18.45522898154477,47.641831852358166,33.90293916609706,NA,0.06667571021987119,0.006352676751507475,0.027699860803952165,1770.3239021492725,121630.0577259461,63910.93134651008,0.006352676751507475,4.360344762918884,4390998.878542817,3369.1356685853734,930.2227713011463,4,12,8381.884159106774,25145.65247732032,696.5310734463278,365.99464349545485,23.04404914844865,0.5970880966866652
HR,Central_Eastern,26.33023341902568,27.63416997374957,22.72178430384205,4.912385669907522,2292.4462151394423,63.24096385542169,186.27888446215138,14.005306985901624,251,48,19,24.22464001729526,14.359114130408853,37.3734116078731,17.442219694353234,26,122,103,10.358565737051793,48.60557768924303,41.03585657370518,NA,0.08125769024893813,0.00610932849521607,0.027586672890196878,1665.1493399574194,144976.50823213172,60360.64394518348,0.00610932849521607,4.515500011465861,5255309.649307154,3999.4195093627527,693.2811919003768,1,13,2292.4462151394423,29801.80079681275,822.132530120482,342.29303444733387,26.780879628836086,0.8532903449134857
HU,Central_Eastern,32.42539186892187,25.301242941016,18.33082329452843,6.970419646487571,2224.315322580645,59.58387096774195,158.95887096774197,13.876642720007128,1240,88,24,30.939884835907463,17.657912711515365,45.81881969521017,19.143112981397234,228,644,368,18.387096774193548,51.935483870967744,29.677419354838708,NA,0.07146418016997622,0.0062386131045069106,0.02678751090857608,1932.0303651963097,132533.31717221646,72124.29597472478,0.0062386131045069106,4.293824678633172,4947578.654267039,3550.237679500522,1051.4060378531447,1,14,2224.315322580645,31140.41451612903,834.1741935483873,453.9554861649062,25.089195013221048,0.21204792779495207
IE,Northern,39.158932070118,23.214125272386305,14.83392212482152,8.380203147564785,2246.0301624129925,66.71339950372213,162.65841769778754,14.04755342473505,2667,86,21,39.19619520973478,21.535754921791302,56.03978560222352,21.821492029388196,863,1184,620,32.35845519310086,44.39445069366329,23.247094113235846,NA,0.07242040664451169,0.006254392153684726,0.029702806587445594,2612.4254793328987,149840.30752246786,87952.14255736647,0.006254392153684726,4.749111641480047,5044651.490468933,4450.6776733432325,1533.421960872116,2,15,4492.060324825985,33690.452436194886,1000.7009925558319,587.38398105177,23.562988718941966,-0.3488634465556615
IS,Other,24.439989166715524,25.559993720993607,18.117098510705596,7.442895210288012,2210.8837920489295,68.46177370030581,145.4862385321101,13.363508976198482,654,46,18,18.221340467872444,2.3015501080511362,42.78709626043857,23.517961031126877,112,208,334,17.12538226299694,31.804281345565748,51.07033639143731,NA,0.06580456153115184,0.0060444194417897884,0.0309657947407806,1673.2050075696038,151361.0258489278,54033.97592654278,0.0060444194417897884,5.123038703550236,4888007.141944654,4687.014458191885,597.3130704691722,3,16,6632.651376146789,35374.14067278287,1095.388379204893,391.0398266674484,24.207872454570804,1.3521212664228024
IT,Southern,26.903157625072076,22.053128950838857,17.46425585234337,4.588873098495484,2051.8825869180905,53.71901969198506,125.9832293105917,13.27382497690236,20989,118,27,21.895265380236896,7.948420283753007,42.08118624461037,21.4594666423229,3597,7510,9882,17.13754823955405,35.78064700557435,47.0818047548716,NA,0.06139884909292855,0.006469095776498365,0.026180357508989123,1445.211254237825,110225.12109229415,55202.120663998045,0.006469095776498365,4.046988700352833,4210222.150497675,2885.733076667879,723.7798901994738,4,17,8207.530347672362,34882.003977607535,913.223334763746,457.3536796262253,22.425164745687045,-0.3720357948481876
LT,Northern,30.477471083630956,25.10118797976833,17.633375137452312,7.46781284231602,2310.395348837209,58.656976744186046,155.85465116279067,13.528255385021831,172,34,16,28.45916346739318,14.580743176124205,43.42664330247792,18.477891225032717,27,89,56,15.69767441860465,51.74418604651163,32.55813953488372,NA,0.06745800074486397,0.005855385482761823,0.025388285504343366,1787.7163125741438,135520.8062466198,70415.00743594149,0.005855385482761823,4.335886267280975,5337926.667928608,3440.6409207679826,928.8762436535611,2,18,4620.790697674418,41587.11627906976,1055.8255813953488,548.5944795053572,24.62562782840301,0.47556015136531826
LU,Western,32.28279039399732,23.39512525567567,16.83669805791535,6.558427197760322,2196.707027942421,60.933842239185765,154.9119390347163,14.289575742807154,1181,98,23,30.908384662338385,16.211706600814257,45.2599651657936,19.69004503688307,224,585,372,18.966977138018628,49.53429297205758,31.498729889923794,NA,0.07052007257418251,0.006504998418560941,0.027738720486664245,1967.114456908534,133853.7994863541,70915.83254008599,0.006504998418560941,4.264216330555343,4825521.7666116245,3712.933130029979,1042.1785556227655,5,19,10983.535139712105,41737.433530906,1157.7430025445296,613.373017485949,23.37302784383287,0.02209741184280034
LV,Northern,30.253330446500346,20.234490839821078,15.194696368086781,5.039794471734298,2234.176470588235,65.05882352941177,152.48235294117646,13.212334500481102,85,19,15,27.8508125388509,12.342904476416154,47.40761959323976,22.104649712973682,20,31,34,23.52941176470588,36.470588235294116,40,NA,0.06824991443089966,0.005913738092945914,0.029119823069429455,1968.246086695846,145352.89273356402,67591.27904050174,0.005913738092945914,4.924097518651437,4991544.501730103,4232.650519031143,915.2640031051449,2,20,4468.35294117647,44683.5294117647,1301.1764705882354,605.066608930007,21.760066678890993,-1.5255758390699157
MT,Southern,48.75813633722828,23.3433728263535,13.54070700638027,9.80266581997323,2110.445344129554,63.66442953020134,128.2411067193676,13.438217905670287,253,35,14,50.66787669096169,27.530700298705607,70.46223224351748,26.542569807794433,127,84,42,50.19762845849802,33.201581027667984,16.600790513833992,NA,0.0607649504291049,0.006367479708986652,0.03016634840001484,3104.158934865419,134360.2988886775,102901.38182133745,0.006367479708986652,4.7375649045948265,4453979.550558112,4053.159587405972,2377.3558590797406,4,21,8441.781376518216,44319.352226720635,1336.9530201342282,1023.9208630817939,22.705360342887197,0.638012483466305
NL,Western,29.15848879898432,22.8207845413747,16.77249805506789,6.048286486306811,2197.115040770217,62.61678294192763,154.71549268100944,13.69872549671428,10179,122,25,26.626519585772172,14.38489701649636,41.451435055848265,18.5111249416239,1504,4931,3744,14.775518223794085,48.442872580803616,36.7816091954023,NA,0.07041756567592956,0.00623486947315789,0.02849954680569516,1825.8107640406292,137576.27560635316,64064.55430637835,0.00623486947315789,4.570993334887004,4827314.502378712,3920.861505996479,850.2174690404939,5,22,10985.575203851085,48336.53089694478,1377.5692247224079,641.486753577655,23.19138690460743,-0.3706023632327309
NO,Other,29.20608931221387,19.842133191674428,13.897207388928638,5.9449258027457885,2150.2534362189526,65.30389992641659,134.58620689655174,13.584650405941739,4147,72,19,25.858513045393565,7.589275265515845,47.220018580129036,22.87615333822008,915,1460,1772,22.064142753797928,35.20617313720762,42.729684108994455,NA,0.06259085772382754,0.006317697336100647,0.03037032697003765,1907.2715336867998,140419.93521527588,62800.493902105496,0.006317697336100647,4.807182958337563,4623589.839971414,4264.599345599433,852.9956529130133,3,23,6450.760308656858,49455.82903303591,1501.9896983075816,671.740054180919,21.14359225130922,-1.3014590596347908
PL,Central_Eastern,30.401693490069217,24.47063593048039,18.14169955409041,6.328936376389985,2187.0791867308717,59.98340108401081,151.03531300160512,13.448718203584681,3738,114,26,27.58116417788907,14.096428267178224,44.081715380994794,20.006625159244383,671,1739,1328,17.950775815944358,46.52220438737293,35.527019796682715,NA,0.06905799932528486,0.0061491683909658075,0.027426259391033193,1823.5969742479822,131188.44806017005,66490.91107350182,0.0061491683909658075,4.460157479396257,4783315.369031372,3598.008405605309,924.262967064117,1,24,2187.0791867308717,52489.90048154092,1439.6016260162594,729.6406437616612,24.25673057810662,0.2139053523737715
PT,Southern,34.87765610420929,22.06756084239425,15.663155544258672,6.40440529813558,2087.003010839021,61.822561220393496,139.8588920112405,13.271300700906282,4982,107,25,33.694242185380695,19.047547816989365,49.39139133367853,20.264354625671437,1203,2439,1340,24.146928944199118,48.95624247290245,26.896828582898436,NA,0.06701422627800338,0.00635902326541011,0.029622650709803945,2156.2260297263097,129023.87140474093,72789.77330049274,0.00635902326541011,4.6583648892961715,4355581.567251139,3822.0290758493015,1216.4508953234872,4,25,8348.012043356084,52175.075270975525,1545.5640305098375,871.9414026052322,22.17386314111309,-0.10630229871884112
RO,Central_Eastern,28.534060831341893,27.432578332732287,20.771685379739672,6.660892952992614,2249.548469387755,62.019021739130416,162.6298619824341,14.40861672068399,797,75,23,25.829908314890925,14.419905408184247,40.25593435576829,18.3712450517745,110,394,293,13.801756587202007,49.43538268506901,36.762860727728985,NA,0.07229444672810095,0.006405115033865213,0.027569542325091456,1769.6545390046626,139514.79542618673,64188.75286856225,0.006405115033865213,4.304300887544625,5060468.316124792,3846.3590574787313,814.1926275267197,1,26,2249.548469387755,58488.260204081635,1612.4945652173908,741.8855816148892,26.416537781320866,1.0160405514114217
SE,Northern,31.589724715139173,21.64570771867214,15.05677488091138,6.58893283776076,2130.196152463139,58.85784489991617,143.48028287186918,12.699928127550411,16686,125,27,29.960459608474636,14.161055443692328,46.339872198057144,20.678780166814647,3378,7644,5664,20.244516361021216,45.810859403092415,33.94462423588637,NA,0.0673554323652136,0.005961858541930764,0.02763024655351998,1859.30311771471,125378.7547480736,67292.31004555919,0.005961858541930764,4.634502204168678,4537735.64796876,3464.2459062625876,997.9107075782747,2,27,4260.392304926278,57515.296116504745,1589.1618122977366,852.9225673087577,21.807105221224763,-0.16139750255262442
SI,Central_Eastern,30.916049120258613,24.648402306413114,17.911940752601733,6.736461553811384,2245.2626262626263,58.604278074866315,150.80303030303034,13.836211347098303,198,54,20,28.886466063235808,16.955406870032533,44.48145509327574,18.040135540016763,30,103,65,15.151515151515152,52.02020202020202,32.82828282828283,NA,0.06716498486150414,0.006162402199750459,0.026101302087950678,1811.8127396198618,131581.9953005996,69414.64964141621,0.006162402199750459,4.235572629291808,5041204.260891746,3434.4614086762567,955.8020932062434,1,28,2245.2626262626263,62867.35353535354,1640.9197860962568,865.6493753672412,24.8417146049605,-0.19331229854738652
SK,Central_Eastern,33.992844156452286,25.257459745837206,17.286753540344105,7.9707062054931,2289.8571428571427,65.63505747126437,163.87755102040813,13.878607301125493,441,59,24,32.65147738069481,20.011946810720964,46.78434647392519,19.268554709372168,94,237,110,21.31519274376417,53.74149659863946,24.94331065759637,NA,0.07156671390248032,0.006060905303380028,0.028663385257898227,2231.122279820479,150294.9051724138,77838.75699768195,0.006060905303380028,4.729225061792883,5243445.7346938765,4307.960769256178,1155.5134538448524,1,29,2289.8571428571427,66405.85714285713,1903.416666666667,985.7924805371163,25.040501748224294,0.21695799761291212
